expression,reading,meaning,meaning_indonesia,tags,guid
ああ,ああ,"Ah!, Oh!","Wah!, aduh!",JLPT JLPT_4 JLPT_5 JLPT_N5,HI-.Ij?HS~
会う,あう,"to meet, to see","untuk bertemu, untuk melihat",JLPT JLPT_3 JLPT_5 JLPT_N5,kupB!kWE}<
青,あお,blue,biru,JLPT JLPT_5 JLPT_N5,HB)I{+$j.i
青い,あおい,blue,biru,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,q(A)lc.Kr8
赤,あか,red,merah,JLPT JLPT_5 JLPT_N5,y!Fn9IOz@J
赤い,あかい,red,merah,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,D`aKGX2j!#
明るい,あかるい,bright (in reference to personality or weather); cheerful,cerah (kepribadian atau cuaca); ceria,Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,m>)z8|k.>J
秋,あき,fall (season),musim gugur (musim),Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,H~$iS3{X?*
開く,あく,"to open, to become open","untuk membuka, menjadi terbuka",JLPT JLPT_3 JLPT_5 JLPT_N5,m[4![DH*c~
開ける,あける,to open (v.t.),untuk membuka (v.t.),Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,y.#AVx@-k>
上げる,あげる,"to raise, to lift","untuk mengangkat, untuk mengangkat",JLPT JLPT_3 JLPT_5 JLPT_N5,Hp0]9?Ae.w
朝,あさ,morning,Pagi,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,g|Q>VbnCii
朝御飯,あさごはん,breakfast,sarapan,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,wWUR=G6*(U
明後日,あさって,day after tomorrow,besok lusa,JLPT JLPT_5 JLPT_N5,mF[0Aq7|V7
足; 脚,あし,foot; leg,kaki;,JLPT JLPT_5 JLPT_N5,m.INsC.wC2
明日,あした,tomorrow,besok,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5,xZI7N3AauN
あそこ,あそこ,"there, over there, that place","di sana, di sana, tempat itu",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,P>AI.lx+Jq
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,untuk bermain;,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,e<h|f2`;&
暖かい,あたたかい,warm,hangat,JLPT_N5,tk[pUMy0{i
頭,あたま,head,kepala,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,DaKiPvzaex
新しい,あたらしい,new,baru,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,h)6JB@Q5Rj
あちら,あちら,this way (polite),lewat sini (sopan),Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5,h{rLO32/d4
暑い,あつい,"hot (in reference to weather), warm","panas (mengacu pada cuaca), hangat",Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,"gSl8i,<}^I"
熱い,あつい,hot (objects),panas (benda),Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Gy7fB=0YXx
厚い,あつい,"kind, warm(hearted), thick, deep","baik hati, hangat (hati), tebal, dalam",JLPT JLPT_5 JLPT_N5,v[2GvOysf?
あっち,あっち,over there,di sana,JLPT JLPT_5 JLPT_N5,Pv=fA$Z6K5
後,あと,afterwards (later); in the future; the rest; since then,setelah itu (nanti);,Genki Genki_Ln.18 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,"r-[yF55!,-"
あなた,あなた,you,Anda,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,"dwd.i?n%,!"
兄,あに,(my) older brother (humble),(saya) kakak laki-laki (rendah hati),Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5,L}%Kue=51s
姉,あね,(my) older sister (humble),(saya) kakak perempuan (rendah hati),Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,IX6p9}CO.e
アパート,アパート,apartment (abbr.),apartemen (singkatan),Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,wZ/2ki)d+f
あの,あの,"that over there; like that, that way; um...",itu di sana;,JLPT JLPT_4 JLPT_5 JLPT_N5,B2LX%goFyX
浴びる,あびる,"to bathe, to shower","untuk mandi, mandi",JLPT JLPT_3 JLPT_5 JLPT_N5,b2.2F3UI=#
危ない,あぶない,"dangerous, critical","berbahaya, kritis",Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5,kjgRC;INvI
甘い,あまい,"generous, sweet","murah hati, manis",Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5,jcM!HlCL`<
余り,あまり,not very; surplus,tidak terlalu;,JLPT JLPT_3 JLPT_5 JLPT_N5,"l$B(J(k,y1"
雨,あめ,rain,hujan,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,PaXlv})<8_
飴,あめ,(hard) candy,(permen,JLPT JLPT_5 JLPT_N5,v}dp1l^X:W
洗う,あらう,to wash,untuk mencuci,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,H=[cc$xhzR
在る,ある,"to be, to have","menjadi, memiliki",JLPT JLPT_3 JLPT_5 JLPT_N5,w$Yz{uB@-`
有る,ある,"to be, to have","menjadi, memiliki",JLPT JLPT_3 JLPT_5 JLPT_N5,v`6i&kQMJj
歩く,あるく,to walk,untuk berjalan,Genki Genki_Ln.20 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,"Kkagn,fSTU"
あれ,あれ,that one (over there),yang itu (di sana),Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Co(PaI(^/_
いい; よい,いい; よい,good,Bagus,JLPT JLPT_5 JLPT_N5,O(#?WJE%7H
いいえ,いいえ,"no, not at all","tidak, tidak sama sekali",JLPT JLPT_5 JLPT_N5,"iO`r],Af`o"
言う,いう,to say,untuk mengatakan,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,iurNhMLEpv
家,いえ,"house, home","rumah, rumah",Genki Genki_Ln.3 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,QGc`#y1e97
いかが,いかが,"how, in what way","bagaimana, dengan cara apa",JLPT JLPT_5 JLPT_N5,r5L~xW!JP9
行く,いく; ゆく,to go,untuk pergi,JLPT JLPT_5 JLPT_N5,kJnXhXxW0)
いくつ,いくつ,"how many, how old","berapa banyak, berapa umur",JLPT JLPT_3 JLPT_5 JLPT_N5,mxf9)ZwbLi
いくら,いくら,"how much, how many","berapa banyak, berapa banyak",Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,G7]VF2LkZL
池,いけ,pond,kolam,JLPT JLPT_5 JLPT_N5,"u8]?l[G,7&"
