expression,reading,meaning,meaning_indonesia,tags,guid
作法,さほう,"manners, etiquette, propriety","sopan santun, etiket, kesopanan",JLPT JLPT_2 JLPT_3,HYeQ[!t+v+
様々,さまざま,"varied, various","bervariasi, beragam",JLPT JLPT_2 JLPT_3,l>?/o{CjV<
冷ます,さます,"to cool, to let cool","untuk mendinginkan, membiarkan dingin",JLPT JLPT_2 JLPT_3,m(o0n4^}Z$
覚ます,さます,to awaken,untuk membangunkan,JLPT JLPT_2 JLPT_3,t9@aJ[u<UZ
冷める,さめる,"to become cool, to wear off","menjadi keren, memudar",JLPT JLPT_2 JLPT_3,LR.A;82:W|
覚める,さめる,"to wake, to wake up","untuk bangun, untuk bangun",JLPT JLPT_2 JLPT_3,Dob+O4(+<L
左右,さゆう,left and right; influence,kiri dan kanan;,JLPT JLPT_2 JLPT_3,d8br}6f4&T
皿,さら,"plate, dish","piring, piring",JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki,p*f@mDk_ih
更に,さらに,"furthermore, moreover","lebih jauh lagi, lebih jauh lagi",JLPT JLPT_2 JLPT_3,n=YLy+|9V>
去る,さる,"to leave, to go away","untuk pergi, untuk pergi",JLPT JLPT_2 JLPT_3,q:@^dVE|Ux
猿,さる,monkey,monyet,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,I;FmV}C|Mm
騒ぎ,さわぎ,"uproar, disturbance","keributan, gangguan",JLPT JLPT_2 JLPT_3,"b-,^J/-<a("
参加,さんか,participation,partisipasi,JLPT JLPT_2 JLPT_3,NJ??D?6U!^
参考,さんこう,"reference, consultation","referensi, konsultasi",JLPT JLPT_2 JLPT_3,Han8<B?^r0
賛成,さんせい,"approval, agreement","persetujuan, persetujuan",JLPT JLPT_2 JLPT_3,"emfZ/!E,?["
酸性,さんせい,acidity,keasaman,JLPT JLPT_2 JLPT_3,geVhjMXt@#
酸素,さんそ,oxygen,oksigen,JLPT JLPT_2 JLPT_3,DM##q[%RFu
氏,し,"family name, lineage","nama keluarga, garis keturunan",JLPT JLPT_2 JLPT_3,LAOK_nHPS/
詩,し,poem; poetry,puisi;,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,PI;rr><.*1
幸せ,しあわせ,"happiness, blessing","kebahagiaan, berkah",JLPT JLPT_2 JLPT_3,MYpn~@*11o
ジーンズ,ジーンズ,jeans,jeans,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki,o3hhzYEH)l
ジェット機,ジェットき,jet plane,pesawat jet,JLPT JLPT_2 JLPT_3,fS!]EX&j7m
四角,しかく,square,persegi,JLPT JLPT_2 JLPT_3,J[L(f7xE~B
直に,じかに,"immediately, readily, directly","segera, siap, secara langsung",JLPT JLPT_2 JLPT_3,"Gui,0]IdY5"
しかも,しかも,"moreover, furthermore, besides, plus","apalagi, lebih jauh lagi, selain itu, ditambah",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2,NW!O~u6B#]
四季,しき,four seasons,empat musim,JLPT JLPT_2 JLPT_3,j=w0weSQi)
直,じき,"immediately, soon, shortly","segera, segera, segera",JLPT JLPT_2 JLPT_3,wd?tx<3Bac
時期,じき,"time, season, period","waktu, musim, periode",JLPT JLPT_2 JLPT_3,DJ<W>Fb$j>
支給,しきゅう,"payment, allowance","pembayaran, tunjangan",JLPT JLPT_2 JLPT_3,MpCDrKuR@c
至急,しきゅう,"urgent, pressing","mendesak, mendesak",JLPT JLPT_2 JLPT_3,"K+,ttKQ<dz"
しきりに,しきりに,"frequently, repeatedly, eagerly","sering, berulang kali, dengan penuh semangat",JLPT JLPT_2 JLPT_3,E|Rw@W(/Em
刺激,しげき,"stimulus, impetus, incentive","stimulus, dorongan, insentif",JLPT JLPT_2 JLPT_3,PD*^rLK60i
資源,しげん,resources,sumber daya,JLPT JLPT_2 JLPT_3,m(PG+T&|gr
事件,じけん,"event, affair, incident","peristiwa, perselingkuhan, kejadian",JLPT JLPT_2 JLPT_3,MbFCnlA+g8
時刻,じこく,"time, hour","waktu, jam",JLPT JLPT_2 JLPT_3,"oN.E,s)Z}n"
自殺,じさつ,suicide,bunuh diri,JLPT JLPT_2 JLPT_3,y#JDw}f8E1
事実,じじつ,"fact, truth, reality","fakta, kebenaran, kenyataan",JLPT JLPT_2 JLPT_3,qUB-Jtt?i`
支出,ししゅつ,"expenditure, expenses","pengeluaran, pengeluaran",JLPT JLPT_2 JLPT_3,PrmuroD(_w
事情,じじょう,"circumstances, situation, reasons","keadaan, situasi, alasan",JLPT JLPT_2 JLPT_3,B&D.VmCJRe
詩人,しじん,poet,penyair,JLPT JLPT_2 JLPT_3,J|*bb(L^Qr
自身,じしん,oneself,diri,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Mms_kL$qBA
沈む,しずむ,to sink; to feel depressed,tenggelam;,JLPT JLPT_2 JLPT_3,v(wY-5e=dv
自然,しぜん,"nature, spontaneous","alam, spontan",JLPT JLPT_2 JLPT_3,K#D]Lme)]J
思想,しそう,"thought, idea","pikiran, ide",JLPT JLPT_2 JLPT_3,"udM,dvR}EZ"
舌,した,tongue,lidah,JLPT JLPT_2 JLPT_3,i22E-x*lSS
次第,しだい,order; circumstances; immediate(ly),memesan;,JLPT JLPT_2 JLPT_3,m7IQESq>:Z
従う,したがう,"to abide (by the rules), to obey","untuk mematuhi (menurut aturan), untuk mematuhi",JLPT JLPT_2 JLPT_3,jQOK[Z2G2a
したがって,したがって,"therefore, consequently","oleh karena itu, akibatnya",JLPT JLPT_2 JLPT_3,zE+XZL-yO%
親しい,したしい,"intimate, close (e.g., friend)","intim, dekat (misalnya, teman)",JLPT JLPT_2 JLPT_3,JLb1]#eUH.
質,しつ,"quality, nature (of person)","kualitas, sifat (orang)",JLPT JLPT_2 JLPT_3,i9bGgE8&)u
失業,しつぎょう,unemployment,pengangguran,JLPT JLPT_2 JLPT_3,L*e(K1S8y>
湿気,しっけ,"moisture, humidity, dampness","kelembapan, kelembapan, kelembapan",JLPT JLPT_2 JLPT_3,mI:_~nX$Y!
実験,じっけん,lab work; experiment,pekerjaan laboratorium;,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,hmPfhao45;
実現,じつげん,"implementation, materialization, realization","implementasi, perwujudan, realisasi",JLPT JLPT_2 JLPT_3,fGH.>rJnym
実行,じっこう,"practice, execution (e.g., program), realization","latihan, pelaksanaan (misalnya, program), realisasi",JLPT JLPT_2 JLPT_3,O_Qp[P4rQP
実際,じっさい,in fact; in actuality,nyatanya;,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,"B6Z:.Y11k,"
実施,じっし,"enforcement, carry out, operation","penegakan, pelaksanaan, pengoperasian",JLPT JLPT_2 JLPT_3,dXLqmB^MiP
湿度,しつど,humidity,kelembaban,JLPT JLPT_2 JLPT_3,lZGX2R~;Bn
じっと,じっと,"patiently, quietly","dengan sabar, dengan tenang",JLPT JLPT_2 JLPT_3,Nkvz[eNt`n
実に,じつに,"indeed, truly, surely","memang, sungguh, pasti",JLPT JLPT_2 JLPT_3,I|OQWMaQog
実は,じつは,actually; in fact,Sebenarnya;,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,s#X::H+4<F
失望,しつぼう,"disappointment, despair","kekecewaan, keputusasaan",JLPT JLPT_2 JLPT_3,mi8g|r~Txf
実力,じつりょく,ability; force,kemampuan;,JLPT JLPT_2 JLPT_3,F5g81kES4+
支店,してん,branch store (office),toko cabang (kantor),JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,h*O$^StSa>
指導,しどう,"leadership, guidance, coaching","kepemimpinan, bimbingan, pembinaan",JLPT JLPT_2 JLPT_3,AKsjeKTYcK
自動,じどう,"automatic, self-motion","otomatis, gerak sendiri",JLPT JLPT_2 JLPT_3,O4.zUw/o_S
児童,じどう,"children, juvenile","anak-anak, remaja",JLPT JLPT_2 JLPT_3,"e,|tEbv]Zq"
品,しな,"thing, article, goods","benda, barang, barang",JLPT JLPT_2 JLPT_3,bDnAvhtlH7
支配,しはい,"rule, control, direction","aturan, kontrol, arah",JLPT JLPT_2 JLPT_3,GJx2Cizi1x
芝居,しばい,"play, drama","bermain, drama",JLPT JLPT_2 JLPT_3,gtSlTkyCFW
しばしば,しばしば,"often, again and again, frequently","sering, lagi dan lagi, sering",JLPT JLPT_2 JLPT_3,oKzAa``eqH
芝生,しばふ,lawn,halaman rumput,JLPT JLPT_2 JLPT_3,"wbx:,PABM*"
支払,しはらい,payment,pembayaran,JLPT JLPT_2 JLPT_3,Ev?:EQ7Ks`
支払う,しはらう,to pay,untuk membayar,JLPT JLPT_2 JLPT_3,"ND2,<K].}x"
死亡,しぼう,death,kematian,JLPT JLPT_2 JLPT_3,zYjIN3r3C
資本,しほん,"funds, capital","dana, modal",JLPT JLPT_2 JLPT_3,K]eJp4bmn-
姉妹,しまい,sisters,saudara perempuan,JLPT JLPT_2 JLPT_3,D=K+>4{9gs
しまった (かん),しまった (かん),Damn it!,Brengsek!,JLPT JLPT_2 JLPT_3,lG^NNUo)xn
自慢,じまん,"pride, boast","kebanggaan, membanggakan",JLPT JLPT_2 JLPT_3,I/xy:2]J/|
地味,じみ,"quiet, plain, conservative","tenang, polos, konservatif",JLPT JLPT_2 JLPT_3,o(yU(Vt?_.
示す,しめす,"to show, to indicate","untuk menunjukkan, untuk menunjukkan",JLPT JLPT_2 JLPT_3,Jd8*LeirRj
占める,しめる,to take up; to account for,untuk mengambil;,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,r`M6Y4!/$F
湿る,しめる,"to be wet, to be damp","menjadi basah, menjadi lembap",JLPT JLPT_2 JLPT_3,uFiSD0nBbH
下,しも,"under, below, beneath","di bawah, di bawah, di bawah",JLPT JLPT_2 JLPT_3,"NEdu]f-jA,"
霜,しも,frost,embun beku,JLPT JLPT_2 JLPT_3,r%B(k2*%-2
借金,しゃっきん,"debt, loan, liabilities","hutang, pinjaman, kewajiban",JLPT JLPT_2 JLPT_3,HTrhI~ql4k
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))","berbicara, mengobrol, mengobrol (sama seperti 話す ​​(はなす))",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,xm(;YK[sEF
週,しゅう,week,pekan,JLPT JLPT_2 JLPT_3,"x+o,UuIX0t"
州,しゅう,"state, province","negara bagian, provinsi",JLPT JLPT_2 JLPT_3,"P_~2Qd-Z,0"
銃,じゅう,gun,pistol,JLPT JLPT_2 JLPT_3,g}R=q_AV`]
周囲,しゅうい,"surroundings, circumference, environs","lingkungan sekitar, keliling, lingkungan sekitar",JLPT JLPT_2 JLPT_3,k;vO#x`Yq;
収穫,しゅうかく,"harvest, crop, ingathering","memanen, memanen, mengumpulkan",JLPT JLPT_2 JLPT_3,Q1;gC;3=ME
宗教,しゅうきょう,religion,agama,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,h2}ja7i^zZ
重視,じゅうし,"importance, stress","penting, stres",JLPT JLPT_2 JLPT_3,p)R=DLs-/X
就職,しゅうしょく,finding employment,mencari pekerjaan,JLPT JLPT_2 JLPT_3,G#y*V:{2Bq
ジュース,ジュース,"juice, soft drink; deuce","jus, minuman ringan;",JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,w1Xid7|yfz
修正,しゅうせい,"amendment, correction","amandemen, koreksi",JLPT JLPT_2 JLPT_3,gUKGu[G9oC
重体,じゅうたい,"seriously ill, critical state","sakit parah, keadaan kritis",JLPT JLPT_2 JLPT_3,"F]Ml+g6],&"
渋滞,じゅうたい,"congestion (e.g., traffic), delay","kemacetan (misalnya lalu lintas), penundaan",JLPT JLPT_2 JLPT_3,f6HLmc1`E?
重大,じゅうだい,"serious, important","serius, penting",JLPT JLPT_2 JLPT_3,bRTiuj?[St
住宅,じゅうたく,"resident, housing","penduduk, perumahan",JLPT JLPT_2 JLPT_3,"bO,.P:9Wr8"
集団,しゅうだん,"group, mass","kelompok, massa",JLPT JLPT_2 JLPT_3,O[N$vC_)x(
集中,しゅうちゅう,"concentration, focusing the mind","konsentrasi, memfokuskan pikiran",JLPT JLPT_2 JLPT_3,z{<Xu{#h*c
収入,しゅうにゅう,"income, revenue","pendapatan, pendapatan",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Ow2ez*OE$v
住民,じゅうみん,"inhabitants, residents","penduduk, penduduk",JLPT JLPT_2 JLPT_3,M3~&[?-]c=
重要,じゅうよう,"important, essential","penting, penting",JLPT JLPT_2 JLPT_3,d;5d4|x2m2
修理,しゅうり,"repairing, mending","memperbaiki, memperbaiki",JLPT JLPT_2 JLPT_3,i2Z^HI-&!g
主義,しゅぎ,"doctrine, cause, principle","doktrin, sebab, prinsip",JLPT JLPT_2 JLPT_3,mm(7ICuhH@
宿泊,しゅくはく,lodging,penginapan,JLPT JLPT_2 JLPT_3,sJf/S8qo)G
手術,しゅじゅつ,surgical operation,operasi bedah,JLPT JLPT_2 JLPT_3,O=U-eHfq4I
首相,しゅしょう,Prime Minister,Perdana Menteri,JLPT JLPT_2 JLPT_3,"h%Bt%?=g9,"
手段,しゅだん,"means, way, measure","artinya, cara, mengukur",JLPT JLPT_2 JLPT_3,cG]JN2+6BK
主張,しゅちょう,"claim, insistence, assertion","klaim, desakan, penegasan",JLPT JLPT_2 JLPT_3,PQKr-g-1[?
出場,しゅつじょう,participation,partisipasi,JLPT JLPT_2 JLPT_3,u|Gl.@-_{b
出身,しゅっしん,come from,berasal dari,JLPT JLPT_2 JLPT_3,E~$fFKz?VN
出版,しゅっぱん,publication,publikasi,JLPT JLPT_2 JLPT_3,pHGL?y?[mQ
首都,しゅと,capital city,ibu kota,JLPT JLPT_2 JLPT_3,"pV,3~,Z87["
主婦,しゅふ,housewife,ibu rumah tangga,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki,cu7/mz5_+B
主要,しゅよう,"chief, main","ketua, utama",JLPT JLPT_2 JLPT_3,e/wz>k>*.!
