expression,reading,meaning,meaning_indonesia,tags,guid
踏む,ふむ,"to step on, to tread on","untuk melangkah, untuk melangkah",JLPT JLPT_N4,MD)?c2/f%j
～区,～く,"~ district, ~ ward, ~ borough","~ kecamatan, ~ kelurahan, ~ kelurahan",JLPT JLPT_N4,jyNlO!<_rh
すっと,すっと,"straight, quickly","lurus, cepat",JLPT JLPT_N4,k|7>>bJ_;p
盗む,ぬすむ,to steal; to rob,untuk mencuri;,Genki Genki_Ln.21 JLPT JLPT_N4,yRRr.o{S!G
大抵,たいてい,"generally, usually","umumnya, biasanya",Genki Genki_Ln.3 JLPT JLPT_N4,F4RWhn9KV7
とうとう,とうとう,"finally, at last","akhirnya, akhirnya",JLPT JLPT_N4,b~a!BAlss]
ガソリン,ガソリン,"gasoline, petrol","bensin, bensin",Genki Genki_Ln.21 JLPT JLPT_N4,DtjnF2f-}S
鳴る,なる,"to sound, to ring (v.i.)","berbunyi, berdering (v.i.)",Intermediate_Japanese_Ln.2 JLPT JLPT_N4,N2XM.u#*9T
しっかり,しっかり,"firmly, steady","tegas, mantap",JLPT JLPT_N4,s1@<ogH]|l
生きる,いきる,to live,untuk hidup,JLPT JLPT_N4,PsYPR<^eS}
苦い,にがい,bitter,pahit,JLPT JLPT_N4,s7onh_qmu>
沸く,わく,"to boil, to grow hot","mendidih, menjadi panas",JLPT JLPT_N4,PG:x_[8:n{
意見,いけん,"opinion, view, idea","opini, pandangan, gagasan",JLPT JLPT_N4,rm|oi`$1Dg
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely","seperti dugaanku, tentu saja",JLPT JLPT_N4,uKv@@b~bnv
漫画,まんが,"comic (book), cartoon","komik (buku), kartun",Genki Genki_Ln.14 JLPT JLPT_N4,l|R^YmR+|c
ステレオ,ステレオ,stereo,stereo,JLPT JLPT_N4,j)<hxBenH^
医学,いがく,medical science,ilmu kedokteran,JLPT JLPT_N4,j>$AcgpmMe
テキスト,テキスト,text; text book,teks;,JLPT JLPT_N4,tNueVeWq/i
～月,～つき,month,bulan,JLPT JLPT_N4,fmd>SOFFek
折る,おる,"to snap, to break; to bend","untuk mematahkan, untuk menghancurkan;",JLPT JLPT_N4,yVVu7>5}8_
～会,～かい,~ meeting,~ pertemuan,JLPT JLPT_N4,q`5&BgJq(Y
うかがう,うかがう,to ask,untuk bertanya,JLPT JLPT_N4,i(<6VU5W9O
聞こえる,きこえる,"to be heard, to be audible","untuk didengar, untuk didengar",JLPT JLPT_N4,quf~I<>p>
僕,ぼく,I (used by men towards those of equal or lower status),I (digunakan oleh laki-laki terhadap mereka yang berstatus setara atau lebih rendah),Genki Genki_Ln.5 JLPT JLPT_N4,sZrMWgN[D[
必ず,かならず,"surely, certainly","tentu saja, tentu saja",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t=>{J>bIy^
壊す,こわす,"to break, to break down","untuk menghancurkan, untuk menghancurkan",JLPT JLPT_N4,d^9}5OH`;*
怒る,おこる,to get angry; to scold angrily,untuk marah;,Genki Genki_Ln.19 JLPT JLPT_N4,Ib^RmCfT#f
